SERIAL NO,SUBJECT,CHAPTER NAME,CLASS TEACHER,YEAR,MODE,FACULTY1,FACULTY2,BATCH,EXAM DATE,ALLOTED HOURS,COMPLETED HOURS,REMAINING HOURS NEEDED,CHAPTER STATUS,AVERAGE MARK OF BATCH,NUMBER OF A+,REMARKS1,REMARKS2,REMARKS3,FLAG1,FLAG2,FLAG3
1,CHEMISTRY,Aldehydes and Ketones,ANANDALAKSHMI,2026,OFFLINE,BDZ,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
2,CHEMISTRY,Aldehydes and Ketones,ANANDALAKSHMI,2026,OFFLINE,BDZ,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
3,CHEMISTRY,Aldehydes and Ketones,ANANDALAKSHMI,2026,OFFLINE,BDZ,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
4,BOTANY,Anatomy of Flowering Plants,ANANDALAKSHMI,2026,OFFLINE,BAE,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
5,BOTANY,Anatomy of Flowering Plants,ANANDALAKSHMI,2026,OFFLINE,BAE,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
6,ZOOLOGY,Animal Kingdom Non Chordata,ANANDALAKSHMI,2026,OFFLINE,MAI,,BATCH1,23-02-2025,21,17,4,COMPLETED,,,,,,,,
7,ZOOLOGY,Animal Kingdom Non Chordata,ANANDALAKSHMI,2026,OFFLINE,MAI,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
8,MATHS,Applications of Differentiation,ANANDALAKSHMI,2026,OFFLINE,CCV,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
9,MATHS,Applications of Differentiation,ANANDALAKSHMI,2026,OFFLINE,CCV,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
10,PHYSICS,Atoms and Nuclei,ANANDALAKSHMI,2026,OFFLINE,PAJ,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
11,PHYSICS,Atoms and Nuclei,ANANDALAKSHMI,2026,OFFLINE,PAJ,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
12,ZOOLOGY,Biodiversity and Conservation,ANANDALAKSHMI,2026,OFFLINE,BBO,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
13,ZOOLOGY,Biodiversity and Conservation,ANANDALAKSHMI,2026,OFFLINE,BBO,,BATCH1,23-02-2025,7,7,0,COMPLETED,,,,,,,,
14,CHEMISTRY,Biomolecules,ANANDALAKSHMI,2026,OFFLINE,BAN,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
15,CHEMISTRY,Biomolecules,ANANDALAKSHMI,2026,OFFLINE,BAN,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
16,CHEMISTRY,Biomolecules,ANANDALAKSHMI,2026,OFFLINE,BAN,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
17,BOTANY,Biotechnology and its Applications,ANANDALAKSHMI,2026,OFFLINE,ZBF,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
18,BOTANY,Biotechnology and its Applications,ANANDALAKSHMI,2026,OFFLINE,ZBF,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
19,ZOOLOGY,Body Fluids and Circulation,ANANDALAKSHMI,2026,OFFLINE,ZBK,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
20,ZOOLOGY,Body Fluids and Circulation,ANANDALAKSHMI,2026,OFFLINE,ZBK,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
21,ZOOLOGY,Breathing and Exchange of Gases,ANANDALAKSHMI,2026,OFFLINE,MAW,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
22,ZOOLOGY,Breathing and Exchange of Gases,ANANDALAKSHMI,2026,OFFLINE,MAW,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
23,ZOOLOGY,Breathing and Exchange of Gases,ANANDALAKSHMI,2026,OFFLINE,MAW,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
24,CHEMISTRY,Carboxylic Acids and It's Derivatives  Derivatives,ANANDALAKSHMI,2026,OFFLINE,ZAN,,BATCH1,23-02-2025,10,9,1,COMPLETED,,,,,,,,
25,CHEMISTRY,Carboxylic Acids and It's Derivatives  Derivatives,ANANDALAKSHMI,2026,OFFLINE,ZAN,,BATCH1,23-02-2025,15,13,2,COMPLETED,,,,,,,,
26,BOTANY,Cell : The unit of life,ANANDALAKSHMI,2026,OFFLINE,CBP,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
27,BOTANY,Cell : The unit of life,ANANDALAKSHMI,2026,OFFLINE,CBP,,BATCH1,23-02-2025,29,21,8,COMPLETED,,,,,,,,
28,BOTANY,Cell : The unit of life,ANANDALAKSHMI,2026,OFFLINE,CBP,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
29,BOTANY,Cell Cycle and Cell Division,ANANDALAKSHMI,2026,OFFLINE,MAD,,BATCH1,23-02-2025,17,14,3,COMPLETED,,,,,,,,
30,BOTANY,Cell Cycle and Cell Division,ANANDALAKSHMI,2026,OFFLINE,MAD,,BATCH1,23-02-2025,14,12,2,COMPLETED,,,,,,,,
31,CHEMISTRY,Chemical Bonding and Molecular Structure  Structure,ANANDALAKSHMI,2026,OFFLINE,CAS,,BATCH1,23-02-2025,9,8,1,COMPLETED,,,,,,,,
32,CHEMISTRY,Chemical Bonding and Molecular Structure  Structure,ANANDALAKSHMI,2026,OFFLINE,CAS,,BATCH1,23-02-2025,12,11,1,COMPLETED,,,,,,,,
